scheme_name,category
Tata Silver E T F FoF Reg (G),Others: FoFs Domestic
Aditya Birla SL Silver E T F FOF Reg (G),Others: FoFs Domestic
SBI Silver E T F FoF Reg (G),Others: FoFs Domestic
HDFC Silver E T F FoF Reg (G),Others: FoFs Domestic
ICICI Pru SILVER E T F FoF (G),Others: FoFs Domestic
Axis Silver FoF Reg (G),Others: FoFs Domestic
UTI Silver E T F FoF Reg (G),Others: FoFs Domestic
Kotak Silver E T F FoF Reg (G),Others: FoFs Domestic
Nippon India Silver E T F FoF Reg (G),Others: FoFs Domestic
Tata Gold E T F FoF Reg (G),Others: FoFs Domestic
HSBC Multi Asset Active FOF Reg (G),Others: FoFs Domestic
Quantum Multi Asset Active FoF Reg (G),Others: FoFs Domestic
Nippon India Multi Asset Omni FoF Reg (G),Others: FoFs Domestic
Franklin India Income Plus Arbitrage Active FoF (G),Others: FoFs Domestic
Bandhan Multi-Asset Passive FOF (G),Others: FoFs Domestic
ICICI Pru Dynamic Asset Allocation Active FOF (G),Others: FoFs Domestic
Aditya Birla SL Aggressive Hybrid Omni FOF Reg (G),Others: FoFs Domestic
Axis Income Plus Arbitrage Active FOF (G),Others: FoFs Domestic
Aditya Birla SL Income plus Arbitrage Active FOF (G),Others: FoFs Domestic
Kotak Income Plus Arbitrage Omni FOF Reg (G),Others: FoFs Domestic
ICICI Pru Income plus Arbitrage Omni FOF (G),Others: FoFs Domestic
Bandhan Income Plus Arbitrage Active FOF Reg (G),Others: FoFs Domestic
Franklin India Dynamic Asset Allocation Active Fund of Funds (G),Others: FoFs Domestic
HSBC Income Plus Arbitrage Active FOF Reg (G),Others: FoFs Domestic
HDFC Income Plus Arbitrage Active FOF (G),Others: FoFs Domestic
DSP Income Plus Arbitrage Omni FoF Reg (G),Others: FoFs Domestic
UTI Income Plus Arbitrage Active FoF (G),Others: FoFs Domestic
SBI Income Plus Arbitrage Active FoF (G),Others: FoFs Domestic
DSP Silver E T F FoF (G),Others: FoFs Domestic
Baroda BNP Paribas Income Plus Arbitrage Active FOF Reg (G),Others: FoFs Domestic
Tata Income Plus Arbitrage Active FoF Reg (G),Others: FoFs Domestic
Groww Silver E T F FOF (G),Others: FoFs Domestic
Baroda BNP Paribas Multi Asset Active FoF Reg (G),Others: FoFs Domestic
Union Income Plus Arbitrage Active FoF (G),Others: FoFs Domestic
